elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
3.40446,4.32134,2.16067,2.16067,0,2.16067
3.4526,2.36797,1.18399,1.67233,0.488341,2.16067
3.50198,1.80125,0.900626,1.41509,0.539743,2.16067
3.55364,3.50738,1.75369,1.49974,0.489886,2.16067
3.60258,2.33746,1.16873,1.43354,0.457736,2.16067
3.652,1.83392,0.916958,1.34744,0.460071,2.16067
3.70381,3.70502,1.85251,1.4196,0.461154,2.16067
3.75263,2.45667,1.22833,1.39569,0.435983,2.16067
3.80202,1.79338,0.896692,1.34024,0.439947,2.16067
3.85537,5.1856,2.5928,1.4655,0.561604,2.5928
3.9027,2.46191,1.23096,1.44418,0.539697,2.5928
3.95191,1.75023,0.875115,1.39676,0.540127,2.5928
4.00427,4.09555,2.04778,1.44683,0.547166,2.5928
4.05258,2.36917,1.18458,1.4281,0.53157,2.5928
4.10197,1.83725,0.918627,1.39414,0.529037,2.5928
4.15463,4.48751,2.24376,1.44724,0.551982,2.5928
4.20262,2.43521,1.2176,1.43373,0.53822,2.5928
4.25209,1.85347,0.926733,1.40556,0.535793,2.5928
4.30398,3.79753,1.89877,1.43152,0.533004,2.5928
4.35267,2.45714,1.22857,1.42137,0.521388,2.5928
4.40194,1.77288,0.88644,1.3959,0.521419,2.5928
4.45377,3.59321,1.7966,1.41411,0.516223,2.5928
4.50247,2.24495,1.12247,1.40143,0.508367,2.5928
4.55201,1.79911,0.899553,1.38052,0.507668,2.5928
4.60394,3.74889,1.87445,1.40028,0.506741,2.5928
4.65259,2.41232,1.20616,1.39281,0.4983,2.5928
4.70192,1.78838,0.894189,1.37435,0.49797,2.5928
4.75399,3.77941,1.88971,1.39275,0.498262,2.5928
4.80258,2.48599,1.243,1.38759,0.490358,2.5928
4.85198,1.8146,0.907302,1.37158,0.489764,2.5928
4.90422,4.1039,2.05195,1.39353,0.49657,2.5928
4.95276,2.53487,1.26743,1.38959,0.489241,2.5928
5.00199,1.80531,0.902653,1.37483,0.488949,2.5928
5.05268,2.54989,1.27494,1.37189,0.482,2.5928
5.10287,2.69985,1.34993,1.37126,0.475079,2.5928
5.1519,1.73092,0.865459,1.35721,0.475752,2.5928
5.20268,2.59042,1.29521,1.35554,0.469386,2.5928
5.25317,2.9583,1.47915,1.35879,0.463591,2.5928
5.30197,1.79958,0.899792,1.34702,0.463325,2.5928
5.35304,2.90871,1.45435,1.34971,0.457803,2.5928
5.40337,3.23033,1.61517,1.35618,0.454036,2.5928
5.45204,1.83678,0.918388,1.34576,0.453537,2.5928
5.50189,1.71852,0.859261,1.33444,0.454189,2.5928
5.55346,3.28255,1.64127,1.34142,0.451321,2.5928
5.6022,2.13194,1.06597,1.3353,0.448121,2.5928
5.65239,2.27356,1.13678,1.33098,0.444168,2.5928
5.70332,3.1693,1.58465,1.33638,0.44094,2.5928
5.75199,1.7643,0.882149,1.32691,0.441119,2.5928
5.80186,1.69563,0.847816,1.31714,0.441819,2.5928
5.85196,1.74356,0.871778,1.30823,0.4418,2.5928
5.90358,3.39818,1.69909,1.31589,0.440791,2.5928
5.95303,2.89249,1.44625,1.3184,0.436899,2.5928
6.00243,2.30169,1.15085,1.31524,0.433358,2.5928
6.05198,1.77073,0.885367,1.30728,0.43322,2.5928
6.10186,1.74212,0.871062,1.29935,0.433202,2.5928
6.15248,2.31123,1.15561,1.29678,0.429739,2.5928
6.20432,4.0381,2.01905,1.30945,0.436379,2.5928
6.25338,3.20435,1.60217,1.3145,0.434276,2.5928
6.30249,2.29812,1.14906,1.31169,0.431109,2.5928
6.352,1.79553,0.897765,1.3048,0.430773,2.5928
6.4019,1.73855,0.869274,1.29766,0.430792,2.5928
