elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
10.5088,8.70538,4.35269,4.35269,0,4.35269
10.5555,5.37729,2.68865,3.52067,0.832021,4.35269
10.6056,5.39923,2.69961,3.24698,0.781865,4.35269
10.6593,9.16243,4.58121,3.58054,0.890094,4.58121
10.7044,4.29654,2.14827,3.29409,0.980835,4.58121
10.7553,5.03016,2.51508,3.16425,0.941266,4.58121
10.8054,5.22876,2.61438,3.0857,0.892433,4.58121
10.8575,7.33066,3.66533,3.15815,0.856522,4.58121
10.9062,5.97167,2.98584,3.13901,0.80935,4.58121
10.9578,7.56717,3.78358,3.20346,0.791793,4.58121
11.0071,6.96135,3.48067,3.22866,0.75914,4.58121
11.0555,5.26786,2.63393,3.1791,0.745176,4.58121
11.1075,7.26438,3.63219,3.21396,0.726051,4.58121
11.1568,6.63686,3.31843,3.22142,0.700157,4.58121
11.206,5.84364,2.92182,3.20144,0.680532,4.58121
11.2585,8.20661,4.1033,3.25781,0.694144,4.58121
11.3095,9.35745,4.67873,3.34139,0.751845,4.67873
11.3547,4.5104,2.2552,3.28105,0.771862,4.67873
11.4037,3.47304,1.73652,3.19976,0.826658,4.67873
11.4545,4.32348,2.16174,3.14786,0.836884,4.67873
11.5039,3.68094,1.84047,3.0856,0.862868,4.67873
11.5541,3.92652,1.96326,3.03459,0.874844,4.67873
11.6056,5.39613,2.69806,3.01995,0.858363,4.67873
11.654,3.75628,1.87814,2.97238,0.870716,4.67873
11.7045,4.24862,2.12431,2.93846,0.869159,4.67873
11.7546,4.34589,2.17295,2.90901,0.864901,4.67873
11.8058,5.57661,2.78831,2.90454,0.84904,4.67873
11.8548,4.52399,2.262,2.8816,0.842224,4.67873
11.9041,3.9351,1.96755,2.85008,0.844214,4.67873
11.9549,4.73118,2.36559,2.83393,0.834569,4.67873
12.0044,4.14109,2.07055,2.8093,0.832003,4.67873
12.0545,4.30512,2.15256,2.78878,0.826834,4.67873
12.1044,4.22263,2.11132,2.76825,0.82245,4.67873
12.154,3.86977,1.93489,2.74374,0.822408,4.67873
12.2052,4.95386,2.47693,2.73612,0.811792,4.67873
12.2546,4.32825,2.16413,2.72023,0.805938,4.67873
12.3057,5.52034,2.76017,2.72131,0.794998,4.67873
12.3542,3.98946,1.99473,2.70219,0.793043,4.67873
