elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
9.30857,8.38804,4.19402,4.19402,0,4.19402
9.36457,14.4379,7.21896,5.70649,1.51247,7.21896
9.4046,4.41933,2.20966,4.54088,2.05969,7.21896
9.45355,3.38125,1.69063,3.82832,2.1691,7.21896
9.50334,3.14355,1.57177,3.37701,2.13979,7.21896
9.56032,10.1058,5.05292,3.65633,2.05078,7.21896
9.60349,3.29137,1.64568,3.36909,2.02482,7.21896
9.65344,3.20411,1.60205,3.14821,1.98215,7.21896
9.70883,8.65912,4.32956,3.27947,1.90531,7.21896
9.75338,3.19052,1.59526,3.11105,1.87683,7.21896
9.81122,10.9761,5.48804,3.32714,1.91552,7.21896
9.85374,3.50881,1.7544,3.19608,1.88478,7.21896
9.90496,4.72832,2.36416,3.13209,1.82435,7.21896
9.95479,4.65679,2.3284,3.07468,1.77013,7.21896
10.0091,8.97884,4.48942,3.169,1.74614,7.21896
10.0622,12.0611,6.03056,3.34784,1.82709,7.21896
10.1036,3.35455,1.67727,3.24958,1.8156,7.21896
10.1689,18.6872,9.34362,3.58813,2.24985,9.34362
10.2048,4.48608,2.24304,3.51734,2.21035,9.34362
10.2541,3.79777,1.89888,3.43642,2.18306,9.34362
10.3115,11.4059,5.70297,3.54435,2.18445,9.34362
10.3534,3.2475,1.62375,3.45705,2.1714,9.34362
10.4038,3.59154,1.79577,3.38482,2.15052,9.34362
10.4565,6.36935,3.18468,3.37648,2.10562,9.34362
10.5035,3.36504,1.68252,3.30872,2.08961,9.34362
10.5535,3.32546,1.66273,3.24541,2.07334,9.34362
10.6114,11.2059,5.60296,3.33273,2.08273,9.34362
10.6656,15.4145,7.70724,3.48896,2.20042,9.34362
10.7038,3.64041,1.82021,3.43142,2.18349,9.34362
10.7546,4.35042,2.17521,3.38955,2.1586,9.34362
10.8035,3.30567,1.65284,3.33352,2.14555,9.34362
10.8551,4.99701,2.49851,3.30743,2.11675,9.34362
10.9091,8.91852,4.45926,3.34233,2.09377,9.34362
10.9629,12.7068,6.35338,3.43089,2.12455,9.34362
11.0097,9.55987,4.77993,3.46944,2.10601,9.34362
11.0541,3.9165,1.95825,3.42746,2.09135,9.34362
11.1035,3.33095,1.66547,3.37984,2.08259,9.34362
11.1544,4.20141,2.10071,3.34618,2.06518,9.34362
11.2036,3.48306,1.74153,3.30503,2.05425,9.34362
11.2538,3.59416,1.79708,3.26733,2.04203,9.34362
11.3054,5.22399,2.61199,3.25135,2.0195,9.34362
11.3539,3.7365,1.86825,3.21842,2.00643,9.34362
11.4039,3.67379,1.8369,3.18629,1.99386,9.34362
11.4563,6.13332,3.06666,3.18357,1.97115,9.34362
11.506,5.79453,2.89726,3.17721,1.94958,9.34362
11.5612,11.0135,5.50675,3.22785,1.95797,9.34362
11.6035,3.32928,1.66464,3.19459,1.95012,9.34362
11.6537,3.52693,1.76346,3.16478,1.9405,9.34362
11.7042,3.99327,1.99664,3.14094,1.92768,9.34362
11.7547,4.47178,2.23589,3.12284,1.91251,9.34362
11.8051,4.81558,2.40779,3.10881,1.89626,9.34362
11.854,3.89433,1.94716,3.08648,1.8847,9.34362
11.9048,4.59433,2.29716,3.07158,1.86993,9.34362
11.9542,4.02236,2.01118,3.05195,1.85804,9.34362
12.0036,3.40414,1.70207,3.0274,1.84988,9.34362
12.0551,4.88257,2.44129,3.01694,1.83493,9.34362
12.1044,4.20547,2.10273,3.0009,1.82272,9.34362
12.2567,106.364,53.182,3.86609,6.77737,53.182
12.3041,3.87931,1.93965,3.83344,6.72429,53.182
12.3541,3.90911,1.95456,3.80212,6.67235,53.182
12.4043,4.18448,2.09224,3.77409,6.621,53.182
12.454,3.87311,1.93655,3.74445,6.57146,53.182
12.5097,9.46736,4.73368,3.76016,6.52027,53.182
12.5539,3.82495,1.91247,3.73129,6.47319,53.182
12.6135,13.2594,6.62971,3.77588,6.4331,53.182
12.6538,3.64232,1.82116,3.74626,6.38864,53.182
12.7128,12.491,6.24549,3.78356,6.34803,53.182
12.7543,4.08816,2.04408,3.75798,6.30465,53.182
12.8043,3.98946,1.99473,3.73243,6.26235,53.182
12.8543,4.13847,2.06923,3.70867,6.22059,53.182
12.9041,3.85904,1.92952,3.68361,6.18018,53.182
12.9568,6.5186,3.2593,3.67772,6.13732,53.182
13.0081,7.94864,3.97432,3.68178,6.09523,53.182
13.0544,4.11177,2.05588,3.65981,6.05682,53.182
13.1062,6.04248,3.02124,3.65129,6.01675,53.182
13.1646,14.4086,7.20429,3.69804,5.99073,53.182
13.2064,6.1214,3.0607,3.68977,5.95214,53.182
13.2593,9.11593,4.55797,3.7009,5.91467,53.182
13.3081,7.87449,3.93724,3.70389,5.87717,53.182
