elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
6.90425,4.10199,2.051,2.051,0,2.051
6.95363,3.47781,1.73891,1.89495,0.156045,2.051
7.00536,5.2104,2.6052,2.1317,0.358238,2.6052
7.05431,4.16279,2.08139,2.11912,0.311007,2.6052
7.10533,5.15437,2.57719,2.21074,0.333094,2.6052
7.15486,4.70948,2.35474,2.23474,0.308771,2.6052
7.20566,5.51343,2.75671,2.30931,0.339238,2.75671
7.25558,5.44333,2.72167,2.36085,0.345392,2.75671
7.30436,4.20809,2.10404,2.33232,0.33549,2.75671
7.35454,4.3819,2.19095,2.31818,0.321087,2.75671
7.40525,5.08428,2.54214,2.33854,0.312842,2.75671
7.45351,3.34334,1.67167,2.28297,0.351689,2.75671
7.50441,4.29606,2.14803,2.27259,0.3398,2.75671
7.55442,4.26722,2.13361,2.26266,0.32939,2.75671
7.60421,4.05502,2.02751,2.24698,0.323581,2.75671
7.65333,3.17454,1.58727,2.20575,0.351656,2.75671
7.7047,4.50802,2.25401,2.20859,0.341345,2.75671
7.75345,3.29518,1.64759,2.17742,0.355748,2.75671
7.80569,5.5747,2.78735,2.20953,0.372082,2.78735
7.85408,3.89695,1.94848,2.19647,0.367096,2.78735
7.90422,4.08006,2.04003,2.18902,0.359795,2.78735
7.95512,4.9355,2.46775,2.20169,0.356285,2.78735
8.00458,4.43578,2.21789,2.2024,0.348469,2.78735
8.05486,4.71377,2.35689,2.20883,0.342526,2.78735
8.10419,4.00615,2.00307,2.2006,0.338019,2.78735
8.15501,4.87018,2.43509,2.20962,0.334509,2.78735
8.20503,4.90713,2.45357,2.21866,0.331473,2.78735
8.25431,4.16803,2.08402,2.21385,0.326457,2.78735
8.30876,8.54993,4.27496,2.28492,0.494305,4.27496
8.35403,3.87001,1.93501,2.27326,0.490039,4.27496
8.4049,4.68636,2.34318,2.27551,0.482229,4.27496
8.45408,3.91746,1.95873,2.26561,0.477824,4.27496
8.50464,4.51803,2.25902,2.26541,0.47053,4.27496
8.55434,4.20833,2.10416,2.26067,0.464358,4.27496
8.6039,3.78084,1.89042,2.25009,0.461815,4.27496
8.65461,4.46939,2.2347,2.24966,0.455362,4.27496
8.7038,3.64614,1.82307,2.23814,0.454463,4.27496
8.75409,3.93534,1.96767,2.23102,0.450528,4.27496
8.80407,3.94797,1.97399,2.22443,0.446566,4.27496
8.85468,4.53544,2.26772,2.22551,0.441001,4.27496
8.90439,4.25196,2.12598,2.22308,0.43586,4.27496
8.95359,3.46541,1.73271,2.21141,0.437081,4.27496
9.00462,4.46534,2.23267,2.2119,0.431981,4.27496
9.05432,4.14896,2.07448,2.20878,0.427534,4.27496
9.10341,3.19791,1.59895,2.19523,0.432209,4.27496
9.15339,3.18789,1.59395,2.18215,0.436385,4.27496
9.20461,4.41289,2.20644,2.18267,0.431732,4.27496
9.25626,6.10137,3.05068,2.20075,0.444836,4.27496
9.30547,5.3668,2.6834,2.2106,0.445531,4.27496
9.35347,3.28636,1.64318,2.19926,0.44815,4.27496
9.40326,3.08847,1.54424,2.18641,0.452933,4.27496
9.45432,4.19998,2.09999,2.18475,0.448714,4.27496
9.5065,6.36578,3.18289,2.20358,0.464745,4.27496
9.55435,4.21119,2.10559,2.20177,0.460611,4.27496
9.60476,4.61221,2.3061,2.20367,0.456617,4.27496
9.65459,4.4148,2.2074,2.20373,0.452522,4.27496
9.70877,8.62598,4.31299,2.24074,0.527131,4.31299
9.75443,4.29773,2.14887,2.23915,0.522704,4.31299
9.80468,4.5464,2.2732,2.23973,0.518274,4.31299
9.85387,3.72148,1.86074,2.23341,0.516222,4.31299
9.90464,4.49061,2.24531,2.23361,0.511975,4.31299
9.95603,5.79953,2.89977,2.24435,0.514716,4.31299
10.0049,4.71687,2.35844,2.24616,0.510814,4.31299
10.0548,4.63986,2.31993,2.24732,0.50689,4.31299
10.1046,4.41456,2.20728,2.2467,0.503,4.31299
10.1542,4.02093,2.01046,2.24312,0.500008,4.31299
10.2068,6.56104,3.28052,2.25861,0.511957,4.31299
10.2533,3.14951,1.57475,2.24855,0.514802,4.31299
10.3045,4.41289,2.20644,2.24794,0.511083,4.31299
10.3558,5.57685,2.78842,2.25566,0.511457,4.31299
10.4042,4.01807,2.00903,2.25219,0.508673,4.31299
10.4535,3.28732,1.64366,2.24373,0.510124,4.31299
10.5069,6.71387,3.35693,2.25898,0.522881,4.31299
10.5543,4.10366,2.05183,2.25618,0.519886,4.31299
10.6049,4.76408,2.38204,2.25786,0.51661,4.31299
10.6566,6.45924,3.22962,2.27065,0.525011,4.31299
10.7133,13.1192,6.55961,2.32635,0.712638,6.55961
10.7545,4.3838,2.1919,2.32463,0.708216,6.55961
10.8063,6.10662,3.05331,2.33385,0.708419,6.55961
10.8542,4.01926,2.00963,2.3298,0.704899,6.55961
10.9047,4.55308,2.27654,2.32914,0.700559,6.55961
10.9551,4.95672,2.47836,2.33096,0.696466,6.55961
11.0043,4.11844,2.05922,2.32768,0.692893,6.55961
11.0567,6.54268,3.27134,2.33892,0.696319,6.55961
11.1041,3.96538,1.98269,2.33473,0.693275,6.55961
11.1541,4.00019,2.00009,2.33084,0.690166,6.55961
11.2087,8.54945,4.27473,2.35318,0.71679,6.55961
11.2541,3.87669,1.93834,2.34847,0.714061,6.55961
11.3081,7.96962,3.98481,2.36685,0.730686,6.55961
11.3545,4.29296,2.14648,2.3644,0.726982,6.55961
11.4058,5.69868,2.84934,2.36973,0.724742,6.55961
11.4584,8.19612,4.09806,2.38852,0.742736,6.55961
11.5054,5.28717,2.64359,2.39126,0.739201,6.55961
11.5557,5.49078,2.74539,2.39503,0.736155,6.55961
11.6059,5.71799,2.859,2.39991,0.7338,6.55961
11.6553,5.15008,2.57504,2.40174,0.730184,6.55961
11.7049,4.80366,2.40183,2.40174,0.726411,6.55961
11.7551,4.99749,2.49875,2.40273,0.722761,6.55961
11.8056,5.51605,2.75803,2.40632,0.719978,6.55961
11.8561,5.94211,2.97105,2.41196,0.71857,6.55961
11.905,4.8182,2.4091,2.41194,0.715004,4.31299
11.954,3.74317,1.87159,2.40664,0.713479,4.31299
12.0047,4.55642,2.27821,2.40539,0.710119,4.31299
12.0544,4.31585,2.15793,2.40301,0.707109,4.31299
12.106,5.90515,2.95258,2.40825,0.705755,4.31299
12.1564,6.31046,3.15523,2.41529,0.70612,4.31299
12.2073,7.13158,3.56579,2.42604,0.711478,4.31299
12.2566,6.46114,3.23057,2.43349,0.712356,4.31299
12.3068,6.64043,3.32022,2.44163,0.714103,4.31299
12.357,6.88839,3.44419,2.45074,0.71719,4.31299
12.4096,9.4471,4.72355,2.47122,0.745551,4.72355
12.4528,2.67744,1.33872,2.46111,0.749822,4.72355
12.5041,3.98612,1.99306,2.45697,0.747782,4.72355
12.5575,7.32946,3.66473,2.46756,0.752965,4.72355
12.6041,3.96943,1.98472,2.46336,0.751024,4.72355
12.6539,3.6912,1.8456,2.45804,0.749957,4.72355
12.7047,4.55117,2.27559,2.45648,0.746934,4.72355
12.7563,6.09279,3.04639,2.46148,0.745726,4.72355
12.8054,5.32889,2.66445,2.46318,0.742817,4.72355
12.8546,4.46701,2.23351,2.46127,0.74001,4.72355
12.9047,4.51708,2.25854,2.45959,0.737174,4.72355
12.9543,4.15516,2.07758,2.45646,0.734954,4.72355
13.0048,4.57644,2.28822,2.45509,0.732116,4.72355
13.0539,3.75891,1.87945,2.45045,0.730974,4.72355
13.1051,4.92239,2.46119,2.45054,0.728045,4.72355
13.155,4.8635,2.43175,2.45039,0.725152,4.72355
13.2063,6.13618,3.06809,2.45525,0.724352,4.72355
13.2539,3.73435,1.86718,2.45066,0.723372,4.72355
13.3052,5.05424,2.52712,2.45125,0.720594,4.72355
13.3548,4.71854,2.35927,2.45054,0.717862,4.72355
13.4054,5.2166,2.6083,2.45175,0.715249,4.72355
13.4562,6.01673,3.00837,2.45596,0.714167,4.72355
13.5087,8.56972,4.28486,2.46971,0.728807,4.72355
13.5541,3.88265,1.94132,2.46577,0.727505,4.72355
13.6049,4.71854,2.35927,2.46498,0.724863,4.72355
13.6551,4.96936,2.48468,2.46513,0.722195,4.72355
13.7096,9.45807,4.72903,2.48165,0.744914,4.72903
13.7539,3.75938,1.87969,2.47729,0.743964,4.72903
13.8046,4.47845,2.23923,2.47558,0.741556,4.72903
13.8546,4.44484,2.22242,2.47377,0.73921,4.72903
13.9071,6.97136,3.48568,2.48095,0.741463,4.72903
13.9549,4.71401,2.35701,2.48007,0.73892,4.72903
14.0073,7.13205,3.56603,2.48767,0.741872,4.72903
14.055,4.8244,2.4122,2.48714,0.739318,4.72903
14.1047,4.57406,2.28703,2.48576,0.73695,4.72903
14.1535,3.32904,1.66452,2.48014,0.737539,4.72903
14.2041,3.9959,1.99795,2.47686,0.736094,4.72903
14.2563,6.10113,3.05057,2.48073,0.735107,4.72903
14.3079,7.67112,3.83556,2.48983,0.74094,4.72903
14.3535,3.36504,1.68252,2.48444,0.741382,4.72903
14.4037,3.49402,1.74701,2.47956,0.74134,4.72903
14.4568,6.65379,3.32689,2.48514,0.742066,4.72903
14.5056,5.38874,2.69437,2.4865,0.739829,4.72903
14.5534,3.3145,1.65725,2.48112,0.740425,4.72903
14.604,3.80635,1.90318,2.47739,0.739482,4.72903
14.6556,5.41186,2.70593,2.47885,0.737334,4.72903
14.7035,3.32522,1.66261,2.47366,0.737845,4.72903
14.754,3.88932,1.94466,2.47031,0.736701,4.72903
14.8043,4.1728,2.0864,2.46789,0.735008,4.72903
14.854,3.8569,1.92845,2.46452,0.73394,4.72903
14.9047,4.57478,2.28739,2.46342,0.731789,4.72903
14.955,4.83584,2.41792,2.46314,0.729536,4.72903
15.0041,4.03595,2.01797,2.46041,0.728125,4.72903
15.0546,4.39382,2.19691,2.4588,0.726191,4.72903
15.1073,7.13944,3.56972,2.46554,0.729104,4.72903
15.1574,7.20906,3.60453,2.4724,0.732228,4.72903
15.2035,3.35836,1.67918,2.46765,0.732593,4.72903
15.2536,3.43966,1.71983,2.4632,0.732671,4.72903
15.3035,3.29947,1.64974,2.45838,0.733159,4.72903
15.3536,3.45707,1.72853,2.45409,0.733127,4.72903
15.4047,4.47941,2.2397,2.45284,0.731163,4.72903
15.4537,3.58558,1.79279,2.449,0.73076,4.72903
15.5052,5.02849,2.51424,2.44938,0.728661,4.72903
15.5536,3.42917,1.71459,2.44515,0.728684,4.72903
15.6045,4.35567,2.17783,2.44362,0.726879,4.72903
15.6539,3.73077,1.86539,2.44034,0.726113,4.72903
15.705,4.81391,2.40695,2.44015,0.724063,4.72903
15.7539,3.71504,1.85752,2.43688,0.723338,4.72903
15.8037,3.59678,1.79839,2.43331,0.722883,4.72903
15.853,2.8708,1.4354,2.42777,0.724678,4.72903
15.9029,2.78163,1.39081,2.42204,0.72675,4.72903
15.9544,4.23384,2.11692,2.42036,0.725101,4.72903
16.0046,4.36664,2.18332,2.41907,0.723329,4.72903
16.0545,4.3478,2.1739,2.41773,0.721585,4.72903
16.1044,4.21095,2.10547,2.41605,0.719997,4.72903
16.1547,4.42457,2.21229,2.41495,0.718213,4.72903
16.2038,3.67403,1.83702,2.41186,0.717529,4.72903
16.2541,3.94654,1.97327,2.40953,0.716329,4.72903
16.3056,5.41258,2.70629,2.4111,0.714756,4.72903
16.3572,7.04503,3.52252,2.41695,0.717394,4.72903
16.4043,4.15444,2.07722,2.41517,0.715934,4.72903
16.4545,4.30393,2.15197,2.4138,0.714318,4.72903
16.5042,4.00949,2.00474,2.41168,0.71307,4.72903
16.5537,3.56078,1.78039,2.40842,0.712665,4.72903
16.6046,4.47059,2.23529,2.40754,0.710943,4.72903
16.6541,3.97015,1.98507,2.40538,0.709766,4.72903
16.7042,3.94416,1.97208,2.40318,0.708631,4.72903
16.7547,4.47702,2.23851,2.40235,0.706936,4.72903
16.8042,4.00949,2.00474,2.40035,0.705718,4.72903
16.8549,4.7617,2.38085,2.40025,0.703952,4.72903
16.9041,3.91912,1.95956,2.39806,0.702883,4.72355
16.9561,5.95951,2.97976,2.40094,0.702329,4.72355
17.0044,4.27079,2.1354,2.39963,0.700844,4.72355
17.0551,4.88067,2.44033,2.39983,0.69913,4.72355
17.1055,5.38373,2.69186,2.40126,0.697719,4.72355
17.1541,3.92699,1.9635,2.39913,0.696688,4.72355
17.2049,4.71926,2.35963,2.39894,0.695009,4.72355
17.2545,4.36544,2.18272,2.3979,0.693497,4.72355
17.3048,4.61435,2.30718,2.39747,0.691865,4.72355
17.3543,4.09293,2.04647,2.3958,0.690638,4.72355
17.407,6.79278,3.39639,2.40054,0.692418,4.72355
17.4563,6.13689,3.06845,2.40369,0.692297,4.72355
17.5091,8.9035,4.45175,2.4133,0.704717,4.72355
17.5552,5.06568,2.53284,2.41386,0.703116,4.72355
17.6099,9.73797,4.86898,2.42528,0.721095,4.72903
17.6554,5.23663,2.61831,2.42618,0.719543,4.72903
17.7055,5.41329,2.70665,2.42747,0.718134,4.72903
17.7556,5.47576,2.73788,2.42889,0.716792,4.72903
17.8048,4.72021,2.36011,2.42858,0.715169,4.72903
17.8569,6.80351,3.40176,2.433,0.716538,4.72903
17.9082,8.08215,4.04108,2.44028,0.723016,4.72903
17.9559,5.76282,2.88141,2.44226,0.72199,4.72903
18.0063,6.2077,3.10385,2.44523,0.721724,4.72903
18.0586,8.48866,4.24433,2.45326,0.730031,4.72903
18.1084,8.29124,4.14562,2.46078,0.737055,4.72903
18.1551,4.98319,2.49159,2.46092,0.735425,4.72903
18.2083,8.13389,4.06694,2.468,0.741472,4.72903
18.2567,6.53601,3.268,2.4715,0.74173,4.72903
18.3045,4.3056,2.1528,2.47011,0.740407,4.72903
18.3559,5.73802,2.86901,2.47185,0.739262,4.72903
18.4059,5.71108,2.85554,2.47351,0.73809,4.72903
18.4559,5.69558,2.84779,2.47512,0.736906,4.72903
18.5039,3.72124,1.86062,2.47248,0.736419,4.72903
18.5538,3.61943,1.80972,2.46965,0.736115,4.72903
18.6047,4.53329,2.26665,2.46879,0.734666,4.72903
18.6554,5.31411,2.65706,2.46959,0.733209,4.72903
18.7067,6.47306,3.23653,2.47282,0.733348,4.72903
18.7558,5.61118,2.80559,2.47422,0.732122,4.72903
18.8043,4.19068,2.09534,2.47263,0.730998,4.72903
18.8538,3.66759,1.8338,2.46997,0.730633,4.72903
18.9056,5.46885,2.73442,2.47107,0.729314,4.72903
18.9547,4.57573,2.28786,2.47031,0.727901,4.72903
19.0053,5.09501,2.5475,2.47063,0.726418,4.72903
