elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
8.55547,5.23019,2.61509,2.61509,0,2.61509
8.60421,4.06218,2.03109,2.32309,0.292003,2.61509
8.65403,3.88813,1.94407,2.19675,0.29794,2.61509
8.70454,4.36521,2.1826,2.19321,0.258097,2.61509
8.75493,4.71449,2.35724,2.22602,0.239992,2.61509
8.80374,3.55744,1.77872,2.15147,0.275291,2.61509
8.85581,5.63741,2.8187,2.24679,0.345649,2.8187
8.90351,3.32284,1.66142,2.17362,0.376851,2.8187
8.95465,4.42767,2.21384,2.17809,0.355524,2.8187
9.00733,7.14135,3.57068,2.31735,0.536931,3.57068
9.0542,3.9103,1.95515,2.28442,0.522425,3.57068
9.10422,4.03261,2.01631,2.26208,0.505643,3.57068
9.1542,4.00209,2.00105,2.242,0.49076,3.57068
9.20459,4.4229,2.21145,2.23981,0.472974,3.57068
9.25423,4.02999,2.01499,2.22483,0.460365,3.57068
9.30428,4.10771,2.05386,2.21414,0.447663,3.57068
9.3563,6.11019,3.0551,2.26361,0.47725,3.57068
9.40516,4.96221,2.4811,2.27569,0.466471,3.57068
9.4539,3.66926,1.83463,2.25248,0.464589,3.57068
9.50456,4.39024,2.19512,2.24961,0.452998,3.57068
9.55366,3.46351,1.73175,2.22495,0.455629,3.57068
9.60526,5.0292,2.5146,2.23812,0.449223,3.57068
9.65481,4.64511,2.32255,2.24179,0.439686,3.57068
9.70506,4.88973,2.44486,2.25025,0.432337,3.57068
9.75625,6.02746,3.01373,2.28079,0.449246,3.57068
9.80555,5.40733,2.70367,2.29705,0.447966,3.57068
9.8574,7.24649,3.62325,2.34617,0.505934,3.62325
9.90476,4.57811,2.28906,2.34413,0.49693,3.62325
9.95469,4.53854,2.26927,2.34155,0.488478,3.62325
10.0045,4.32014,2.16007,2.3355,0.481371,3.62325
10.0555,5.35846,2.67923,2.34659,0.477422,3.62325
10.1048,4.57931,2.28965,2.34481,0.470008,3.62325
10.1568,6.60539,3.30269,2.37384,0.491095,3.62325
10.2051,4.94075,2.47037,2.37668,0.484094,3.62325
10.2544,4.16923,2.08461,2.36833,0.479603,3.62325
10.3041,3.85809,1.92904,2.35613,0.478374,3.62325
10.3548,4.59599,2.298,2.35456,0.471959,3.62325
10.4087,8.51536,4.25768,2.40464,0.556496,4.25768
10.455,4.79054,2.39527,2.4044,0.549317,4.25768
10.5048,4.62937,2.31469,2.40216,0.542588,4.25768
10.555,4.84514,2.42257,2.40265,0.535939,4.25768
10.6054,5.08618,2.54309,2.406,0.529953,4.25768
10.6541,3.87979,1.93989,2.39516,0.528445,4.25768
10.7072,7.03478,3.51739,2.42066,0.548525,4.25768
10.7549,4.68588,2.34294,2.41894,0.542517,4.25768
10.8046,4.41384,2.20692,2.41433,0.537478,4.25768
10.8598,9.69124,4.84562,2.46606,0.637048,4.84562
10.904,3.8054,1.9027,2.45432,0.635491,4.84562
10.9574,7.28202,3.64101,2.47854,0.650969,4.84562
11.0049,4.66061,2.3303,2.47557,0.64476,4.84562
11.0549,4.71616,2.35808,2.47327,0.638615,4.84562
11.1062,6.06513,3.03257,2.48403,0.637092,4.84562
11.1558,5.62859,2.81429,2.49026,0.632651,4.84562
11.2057,5.52845,2.76423,2.49533,0.627853,4.84562
11.2539,3.75533,1.87767,2.4841,0.627569,4.84562
11.3044,4.11749,2.05874,2.4765,0.624486,4.84562
11.3541,3.92556,1.96278,2.46749,0.622648,4.84562
11.4103,10.1545,5.07724,2.51249,0.704563,5.07724
11.4548,4.60291,2.30145,2.50891,0.699098,5.07724
11.5056,5.39827,2.69914,2.51208,0.693675,5.07724
11.5539,3.69668,1.84834,2.5012,0.693109,5.07724
11.6052,5.09691,2.54846,2.50196,0.687523,5.07724
11.6543,4.10962,2.05481,2.49486,0.68433,5.07724
11.7061,5.92494,2.96247,2.50217,0.681435,5.07724
11.7542,3.95346,1.97673,2.49409,0.679258,5.07724
11.8089,8.74758,4.37379,2.52257,0.712127,5.07724
11.8575,7.32183,3.66092,2.53956,0.720144,5.07724
11.9092,8.93784,4.46892,2.56793,0.75161,5.07724
11.9558,5.70822,2.85411,2.57208,0.746927,5.07724
12.0044,4.25816,2.12908,2.56575,0.743434,5.07724
12.0551,4.95601,2.478,2.56451,0.738252,5.07724
12.1105,10.3917,5.19586,2.60106,0.795158,5.19586
12.1542,3.99375,1.99687,2.59278,0.79281,5.19586
12.2041,3.89147,1.94573,2.58404,0.790971,5.19586
12.2555,5.28169,2.64084,2.5848,0.785707,5.19586
12.3051,4.92549,2.46274,2.58319,0.780645,5.19586
12.3535,3.2568,1.6284,2.57079,0.783056,5.19586
12.4038,3.5913,1.79565,2.56085,0.782892,5.19586
12.4544,4.18425,2.09212,2.55492,0.779685,5.19586
12.5037,3.54052,1.77026,2.54511,0.779685,5.19586
12.5547,4.52948,2.26474,2.54165,0.775476,5.19586
12.6052,5.01895,2.50947,2.54126,0.770741,5.19586
12.6553,5.08618,2.54309,2.54128,0.766084,5.19586
12.7052,4.98438,2.49219,2.5407,0.761529,5.19586
12.7555,5.34487,2.67243,2.54225,0.757169,5.19586
12.8045,4.30417,2.15209,2.53771,0.753915,5.19586
12.8607,10.4148,5.20742,2.5684,0.801771,5.20742
12.904,3.84283,1.92142,2.56104,0.800147,5.20742
12.9546,4.4086,2.2043,2.55704,0.796527,5.20742
13.0045,4.38309,2.19154,2.55297,0.793015,5.20742
13.0542,3.94893,1.97446,2.54662,0.790949,5.20742
13.1038,3.60036,1.80018,2.5385,0.790437,5.20742
13.1549,4.72045,2.36022,2.53659,0.78639,5.20742
13.205,4.6823,2.34115,2.53451,0.782453,5.20742
13.2542,3.99947,1.99974,2.52888,0.780235,5.20742
13.3044,4.00376,2.00188,2.52339,0.778003,5.20742
13.3544,4.21262,2.10631,2.51909,0.775128,5.20742
13.4043,4.13179,2.0659,2.51446,0.772507,5.20742
13.4543,4.09126,2.04563,2.50973,0.770024,5.20742
13.5038,3.67737,1.83868,2.50302,0.769068,5.20742
13.5543,4.12583,2.06292,2.49866,0.766491,5.19586
13.604,3.83711,1.91855,2.49297,0.764863,5.19586
13.6542,3.9258,1.9629,2.48783,0.762913,5.19586
13.704,3.80373,1.90187,2.48219,0.761387,5.19586
13.7539,3.66664,1.83332,2.47601,0.760369,5.19586
13.8065,6.37698,3.18849,2.48273,0.759901,5.19586
13.854,3.87549,1.93775,2.47764,0.758158,5.19586
13.9038,3.56984,1.78492,2.47123,0.757551,5.19586
13.9548,4.61388,2.30694,2.46972,0.75423,5.19586
14.0047,4.52876,2.26438,2.46785,0.751047,5.19586
14.0547,4.49347,2.24674,2.46586,0.747948,5.19586
14.1041,3.88908,1.94454,2.46121,0.746215,5.19586
14.154,3.79896,1.89948,2.45624,0.744766,5.19586
