elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
9.75428,4.09818,2.04909,2.04909,0,2.04909
9.80398,3.7837,1.89185,1.97047,0.0786185,2.04909
9.85422,3.96872,1.98436,1.9751,0.0645247,2.04909
9.90485,4.62723,2.31361,2.05973,0.156871,2.31361
9.95599,5.83744,2.91872,2.23153,0.371141,2.91872
10.0037,3.55196,1.77598,2.1556,0.37896,2.91872
10.0537,3.50475,1.75238,2.098,0.378159,2.91872
10.1039,3.78442,1.89221,2.07227,0.360223,2.91872
10.1554,5.1446,2.5723,2.12783,0.374214,2.91872
10.2056,5.39756,2.69878,2.18493,0.394171,2.91872
10.256,5.87249,2.93624,2.25323,0.433471,2.93624
10.3058,5.56922,2.78461,2.29751,0.440237,2.93624
10.3541,3.93248,1.96624,2.27203,0.432079,2.93624
10.405,4.85539,2.4277,2.28315,0.418288,2.93624
10.4535,3.32499,1.66249,2.24177,0.432746,2.93624
10.5035,3.28779,1.6439,2.2044,0.443294,2.93624
10.5563,6.07109,3.03555,2.25329,0.472435,3.03555
10.6037,3.58319,1.7916,2.22764,0.471147,3.03555
10.6541,3.90482,1.95241,2.21316,0.462681,3.03555
10.7059,5.70536,2.85268,2.24513,0.472014,3.03555
10.754,3.88026,1.94013,2.23061,0.465195,3.03555
10.8051,4.884,2.442,2.24022,0.456627,3.03555
10.8544,4.23288,2.11644,2.23484,0.447303,3.03555
10.9041,3.8619,1.93095,2.22218,0.442076,3.03555
10.9535,3.3958,1.6979,2.2012,0.445161,3.03555
11.0048,4.60672,2.30336,2.20513,0.436958,3.03555
11.0555,5.27596,2.63798,2.22116,0.436513,3.03555
11.1039,3.67165,1.83582,2.2074,0.434571,3.03555
11.1536,3.41916,1.70958,2.19024,0.436567,3.03555
11.2038,3.64327,1.82164,2.17795,0.434299,3.03555
11.2556,5.36036,2.68018,2.19415,0.436355,3.03555
11.3066,6.47593,3.23796,2.22677,0.466304,3.23796
11.3537,3.43299,1.71649,2.21131,0.467442,3.23796
11.4036,3.45063,1.72532,2.19701,0.467779,3.23796
11.4543,3.97611,1.98805,2.19104,0.462361,3.23796
11.5035,3.335,1.6675,2.1765,0.463941,3.23796
11.5536,3.36432,1.68216,2.16314,0.464597,3.23796
11.6048,4.67253,2.33626,2.1677,0.45928,3.23796
11.6534,3.20959,1.6048,2.15326,0.462002,3.23796
11.7073,7.10082,3.55041,2.18819,0.505658,3.55041
11.7551,4.90546,2.45273,2.19464,0.501118,3.55041
11.8044,4.22621,2.1131,2.1927,0.495272,3.55041
11.8539,3.68452,1.84226,2.18455,0.492321,3.55041
11.9053,4.98772,2.49386,2.19158,0.488872,3.55041
11.9537,3.44276,1.72138,2.18113,0.488353,3.55041
12.0042,3.89934,1.94967,2.1761,0.484194,3.55041
12.0534,3.23391,1.61695,2.1642,0.485763,3.55041
12.1037,3.4163,1.70815,2.1547,0.48507,3.55041
12.1565,6.26683,3.13342,2.17468,0.49964,3.55041
12.2056,5.409,2.7045,2.18527,0.50015,3.55041
12.2534,3.24059,1.62029,2.1742,0.501379,3.55041
12.304,3.793,1.8965,2.16885,0.497997,3.55041
12.3544,4.10748,2.05374,2.16668,0.493525,3.55041
12.4057,5.43666,2.71833,2.1769,0.494558,3.55041
12.4556,5.37157,2.68579,2.18615,0.494736,3.55041
12.5063,6.13403,3.06702,2.20188,0.503985,3.55041
12.5547,4.50015,2.25008,2.20273,0.499585,3.55041
12.6063,6.08706,3.04353,2.21722,0.507209,3.55041
12.6573,7.12872,3.56436,2.24006,0.532107,3.56436
12.7035,3.31402,1.65701,2.23034,0.532907,3.56436
12.7549,4.74834,2.37417,2.2327,0.528836,3.56436
12.8051,4.90308,2.45154,2.23623,0.525278,3.56436
12.8559,5.71918,2.85959,2.24612,0.526885,3.56436
12.9047,4.5197,2.25985,2.24634,0.522755,3.56436
12.9549,4.68016,2.34008,2.24778,0.518847,3.56436
13.0066,6.37579,3.18789,2.26202,0.527552,3.56436
13.055,4.78578,2.39289,2.26397,0.523841,3.56436
13.1054,5.21398,2.60699,2.26902,0.521612,3.56436
13.1582,8.03041,4.01521,2.29433,0.558288,4.01521
13.2052,5.07903,2.53952,2.29783,0.555049,4.01521
13.2575,7.28989,3.64494,2.3168,0.573533,4.01521
13.3059,5.75852,2.87926,2.32461,0.573327,4.01521
13.3565,6.2809,3.14045,2.33579,0.57723,4.01521
13.404,3.77607,1.88804,2.32974,0.575643,4.01521
13.454,3.8259,1.91295,2.32418,0.573787,4.01521
13.5047,4.58503,2.29251,2.32377,0.570011,4.01521
13.554,3.80301,1.90151,2.31828,0.568312,4.01521
13.6045,4.24528,2.12264,2.31577,0.565086,4.01521
13.656,5.80263,2.90132,2.32319,0.565301,4.01521
13.704,3.80135,1.90067,2.3179,0.563714,4.01521
13.7543,4.17495,2.08747,2.31506,0.560802,4.01521
13.8045,4.13346,2.06673,2.31203,0.558037,4.01521
13.8569,6.7265,3.36325,2.3247,0.566399,4.01521
13.9039,3.78871,1.89435,2.31957,0.564949,4.01521
13.9556,5.36013,2.68006,2.32381,0.562959,4.01521
14.0038,3.68762,1.84381,2.31823,0.562037,4.01521
14.0541,3.95417,1.97709,2.31431,0.55998,4.01521
14.1048,4.59361,2.29681,2.31411,0.556792,4.01521
14.1554,5.27811,2.63906,2.31776,0.554713,4.01521
14.2045,4.30417,2.15209,2.31592,0.551896,4.01521
14.2555,5.33414,2.66707,2.31978,0.550075,4.01521
14.3042,3.98207,1.99103,2.31621,0.548138,4.01521
14.354,3.80039,1.9002,2.31173,0.546869,4.01521
14.404,3.84641,1.9232,2.3076,0.545411,4.01521
14.456,5.862,2.931,2.31416,0.54625,4.01521
14.5058,5.69344,2.84672,2.31971,0.546081,4.01521
14.5539,3.78728,1.89364,2.31532,0.544961,4.01521
14.606,5.87153,2.93577,2.32165,0.545747,4.01521
14.6559,5.70226,2.85113,2.327,0.545559,4.01521
14.7054,5.17273,2.58636,2.32959,0.543438,4.01521
14.7549,4.6618,2.3309,2.3296,0.540741,3.64494
14.8043,4.13704,2.06852,2.32704,0.538698,3.64494
14.8556,5.39851,2.69926,2.33066,0.537318,3.64494
14.9094,9.27687,4.63843,2.35285,0.580217,4.01521
14.9567,6.50668,3.25334,2.36142,0.584033,4.01521
15.0054,5.15819,2.57909,2.36348,0.581652,4.01521
15.0582,8.05974,4.02987,2.37905,0.600722,4.02987
15.1056,5.39255,2.69628,2.38199,0.598706,4.02987
15.156,5.8887,2.94435,2.38715,0.59836,4.02987
15.2041,3.90363,1.95181,2.38319,0.597066,4.02987
15.2544,4.23789,2.11895,2.38081,0.594894,4.02987
15.3048,4.56715,2.28357,2.37994,0.592303,4.02987
15.354,3.8259,1.91295,2.37581,0.591296,4.02987
15.4044,4.15611,2.07806,2.3732,0.589352,4.02987
15.4539,3.7365,1.86825,2.36881,0.588653,4.02987
15.5045,4.27651,2.13826,2.36682,0.586498,4.02987
15.5572,6.96135,3.48067,2.37634,0.592919,4.02987
15.6057,5.5325,2.76625,2.37964,0.591482,4.02987
15.6546,4.38857,2.19429,2.37809,0.589235,4.02987
15.7061,5.9526,2.9763,2.38307,0.589289,4.02987
15.7569,6.67119,3.3356,2.39094,0.593151,4.02987
15.8087,8.56018,4.28009,2.40643,0.614783,4.28009
15.8672,16.9723,8.48615,2.45586,0.820338,4.63843
15.9036,3.4833,1.74165,2.4501,0.819517,4.63843
15.9636,13.3393,6.66964,2.48385,0.898628,6.66964
16.004,3.81517,1.90759,2.47928,0.896514,6.66964
16.0542,4.02355,2.01178,2.4756,0.893933,6.66964
16.1043,4.09532,2.04766,2.47226,0.891231,6.66964
16.154,3.78156,1.89078,2.46775,0.889233,6.66964
16.2056,5.31054,2.65527,2.46919,0.885958,6.66964
16.2561,5.91969,2.95985,2.47294,0.883603,6.66964
16.3064,6.21533,3.10767,2.47774,0.881968,6.66964
16.3544,4.23455,2.11728,2.47503,0.879198,6.66964
16.4043,4.03404,2.01702,2.47162,0.876798,6.66964
16.4561,5.86247,2.93124,2.47502,0.874433,6.66964
16.5052,4.9963,2.49815,2.47519,0.871214,6.66964
16.5555,5.3637,2.68185,2.4767,0.868207,6.66964
16.6055,5.28955,2.64478,2.47792,0.865173,6.66964
16.6545,4.26745,2.13373,2.47544,0.862546,6.66964
16.7043,4.02379,2.0119,2.47213,0.860346,6.66964
16.7568,6.57201,3.286,2.4779,0.860006,6.66964
16.8047,4.55976,2.27988,2.47651,0.857132,6.66964
16.854,3.79515,1.89757,2.47246,0.855492,6.66964
16.9059,5.6119,2.80595,2.47477,0.852966,6.66964
16.9543,4.17662,2.08831,2.47211,0.850621,6.66964
17.0051,4.87065,2.43533,2.47186,0.847708,6.66964
17.0568,6.71029,3.35515,2.47787,0.847934,6.66964
17.1075,7.26962,3.63481,2.48568,0.850363,6.66964
17.1547,4.5526,2.2763,2.48428,0.847677,6.66964
17.2046,4.43673,2.21837,2.48251,0.845124,6.66964
17.2552,5.06306,2.53153,2.48283,0.84233,6.66964
17.3059,5.71632,2.85816,2.4853,0.840103,6.66964
17.3559,5.82433,2.91216,2.48809,0.838059,6.66964
17.4045,4.35591,2.17795,2.48608,0.835705,6.66964
17.4556,5.4028,2.7014,2.48746,0.833183,6.66964
17.5066,6.41322,3.20661,2.49207,0.832489,6.66964
17.5551,4.77076,2.38538,2.4914,0.829877,6.66964
17.6047,4.55689,2.27845,2.49005,0.827419,6.66964
17.6557,5.50628,2.75314,2.4917,0.825075,6.66964
17.7052,4.99487,2.49743,2.49174,0.822493,6.66964
17.7563,6.16002,3.08001,2.49539,0.821236,6.66964
17.8054,5.27668,2.63834,2.49627,0.818774,6.66964
17.8556,5.49006,2.74503,2.4978,0.81649,6.66964
17.9055,5.39446,2.69723,2.49902,0.814145,6.66964
17.9558,5.63812,2.81906,2.50096,0.812054,6.66964
18.0045,4.37093,2.18546,2.49906,0.809972,6.66964
18.0545,4.26888,2.13444,2.49687,0.808033,6.66964
18.1038,3.62611,1.81305,2.4928,0.80734,6.66964
18.1541,3.88527,1.94263,2.48955,0.806053,6.66964
18.2041,3.8538,1.9269,2.48624,0.80483,6.66964
18.2545,4.26173,2.13087,2.48416,0.80293,6.66964
18.3034,3.22318,1.61159,2.47909,0.803337,6.66964
18.3542,3.99041,1.99521,2.47629,0.801851,6.66964
18.4038,3.54028,1.77014,2.47223,0.801323,6.66964
18.4552,5.00202,2.50101,2.47239,0.799034,6.66964
18.5071,6.82926,3.41463,2.47775,0.799902,6.66964
18.5581,7.95197,3.97599,2.48621,0.805505,6.66964
18.6044,4.29559,2.14779,2.48431,0.803637,6.66964
18.6533,3.15857,1.57928,2.47926,0.804223,6.66964
18.706,5.82409,2.91204,2.48166,0.802631,6.66964
18.7549,4.72808,2.36404,2.48101,0.800458,6.66964
18.805,4.85373,2.42686,2.48071,0.798266,6.66964
18.8553,5.1589,2.57945,2.48125,0.796116,6.66964
18.9061,5.90205,2.95103,2.48381,0.7947,6.66964
18.9558,5.49936,2.74968,2.48524,0.792789,6.66964
19.0039,3.75009,1.87504,2.48196,0.791913,6.66964
19.0535,3.22413,1.61207,2.47731,0.792337,6.66964
19.1035,3.27778,1.63889,2.47285,0.792577,6.66964
19.1549,4.6742,2.3371,2.47213,0.790538,6.66964
19.2053,5.11909,2.55954,2.47259,0.788481,6.66964
19.2583,8.08215,4.04108,2.4808,0.794519,6.66964
19.3058,5.62096,2.81048,2.48252,0.792802,6.66964
19.3545,4.32706,2.16353,2.48087,0.791077,6.66964
19.4055,5.27978,2.63989,2.48169,0.789118,6.66964
19.4544,4.26435,2.13218,2.4799,0.787488,6.66964
19.5042,4.03309,2.01654,2.47753,0.786169,6.66964
19.5563,6.11687,3.05843,2.48048,0.785257,6.66964
19.6043,4.14348,2.07174,2.47842,0.783808,6.66964
19.6566,6.44159,3.2208,2.48215,0.783596,6.66964
19.7041,3.95346,1.97673,2.47962,0.782447,6.66964
19.7567,6.57177,3.28588,2.48363,0.782557,4.63843
19.8049,4.71902,2.35951,2.48302,0.780666,4.63843
19.8553,5.12767,2.56383,2.48341,0.778762,4.63843
19.9056,5.38993,2.69496,2.48445,0.776991,4.63843
19.9556,5.34916,2.67458,2.48538,0.775207,4.63843
20.005,4.83894,2.41947,2.48506,0.773337,4.63843
20.0539,3.77464,1.88732,2.48217,0.772579,4.63843
20.1067,6.53648,3.26824,2.48595,0.772635,4.63843
20.1564,6.28042,3.14021,2.48908,0.772106,4.63843
20.2063,6.12664,3.06332,2.49182,0.771279,4.63843
20.2543,4.13895,2.06947,2.48981,0.769995,4.63843
20.3049,4.74262,2.37131,2.48925,0.76822,4.63843
20.3541,3.96848,1.98424,2.48688,0.767192,4.63843
20.4069,6.73127,3.36564,2.49099,0.76774,4.63843
20.4541,3.94678,1.97339,2.48858,0.766762,4.63843
20.5072,7.06434,3.53217,2.49341,0.768258,4.63843
20.5563,6.145,3.0725,2.49608,0.767488,4.63843
